순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
4012	국제전문학술지(SCIE)	SAGE PUBLICATIONS LTD	AUSTRALASIAN PSYCHIATRY	영국	10398562	1.2	76.6
12205	국제전문학술지(SCIE)	KARGER	VERHALTENSTHERAPIE	스위스	10166262	1.2	76.6
12703	국제전문학술지(SSCI)	SAGE PUBLICATIONS LTD	AUSTRALASIAN PSYCHIATRY	영국	10398562	1.2	76.6
15258	국제전문학술지(SSCI)	GEORG THIEME VERLAG KG	PSYCHIATRISCHE PRAXIS	독일	03034259	1.2	76.6
3065	국제전문학술지(SCIE)	KARST RESEARCH INST ZRC SAZU	ACTA CARSOLOGICA	슬로베니아	05836050	1.1	76.6
4037	국제전문학술지(SCIE)	SCIENDO	AUSTRIAN JOURNAL OF EARTH SCIENCES	오스트리아	20727151	1.1	76.6
5614	국제전문학술지(SCIE)	AMER METEOROLOGICAL SOC	EARTH INTERACTIONS	미국	10873562	1.1	76.6
5815	국제전문학술지(SCIE)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ENVIRONMENTAL ARCHAEOLOGY	영국	14614103	1.1	76.6
12136	국제전문학술지(SCIE)	TUBITAK SCIENTIFIC & TECHNOLOGICAL RESEARCH COUNCIL TURKEY	TURKISH JOURNAL OF EARTH SCIENCES	튀르키예	13000985	1.1	76.6
12368	국제전문학술지(SCIE)	E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG	ZEITSCHRIFT DER DEUTSCHEN GESELLSCHAFT FUR GEOWISSENSCHAFTEN	독일	18601804	1.1	76.6
11958	국제전문학술지(SCIE)	MARY ANN LIEBERT, INC	THERAPEUTIC HYPOTHERMIA AND TEMPERATURE MANAGEMENT	미국	21537658	1	76.6
4061	국제전문학술지(SCIE)	INST FORESTRY LRCAF	BALTIC FORESTRY	리투아니아	13921355	0.6	76.6
4374	국제전문학술지(SCIE)	CIRAD-CENTRE COOPERATION INT RECHERCHE AGRONOMIQUE POUR	BOIS ET FORETS DES TROPIQUES	프랑스	0006579X	0.6	76.6
9510	국제전문학술지(SCIE)	INST ECOLOGIA A C	MADERA Y BOSQUES	멕시코	14050471	0.6	76.6
